# 托洛洛Agent - jieba天文自定义词典
# 格式：词语 词频(可选) 词性(可选)
# 词频越大优先级越高，词性如 n=名词, ns=地名, nz=专名

# ======== 太阳系行星 ========
第谷 80 n
赫歇尔 80 n

# ======== 天文台 ========
托洛洛天文台 80 n
智利托洛洛山天文台 80 n
拉西拉天文台 80 n
帕瑞纳天文台 80 n
莫纳克亚天文台 80 n
格林威治天文台 80 n
紫金山天文台 80 n
兴隆观测站 80 n
丽江天文观测站 80 n

# ======== 天文现象 ========
凌日 80 n
食 80 n
掩星 80 n
合 80 n
冲 80 n
大距 80 n
近日点 80 n
远日点 80 n
近地点 80 n
远地点 80 n
春分 80 n
秋分 80 n
夏至 80 n
冬至 80 n
日食 80 n
月食 80 n
彗星 80 n
流星雨 80 n
极光 80 n
黄道光 80 n
对日照 80 n
日冕 80 n
太阳风 80 n

# ======== 轨道参数 ========
半长轴 80 n
离心率 80 n
轨道倾角 80 n
公转周期 80 n
自转周期 80 n
轨道偏心率 80 n
近心点 80 n
远心点 80 n
升交点 80 n
降交点 80 n
平近点角 80 n
真近点角 80 n

# ======== 物理参数 ========
质量 80 n
半径 80 n
直径 80 n
密度 80 n
表面重力 80 n
逃逸速度 80 n
磁场强度 80 n
表面温度 80 n
大气压强 80 n
反照率 80 n
星等 80 n
绝对星等 80 n
视星等 80 n
光度 80 n
光谱型 80 n
表面重力加速度 80 n
赤道半径 80 n
极半径 80 n
扁率 80 n
体积 80 n

# ======== 大气成分 ========
大气成分 80 n
氮气 80 n
氧气 80 n
二氧化碳 80 n
氩气 80 n
氦气 80 n
氢气 80 n
甲烷 80 n
氨气 80 n
水蒸气 80 n
臭氧 80 n
一氧化碳 80 n
二氧化硫 80 n
氮 80 n
氧 80 n
氩 80 n
氦 80 n
氢 80 n
臭氧层 80 n
大气层 80 n

# ======== 系外行星 ========
系外行星 80 n
热木星 80 n
超级地球 80 n
类地行星 80 n
宜居带 80 n
TRAPPIST-1 80 n
半人马座α星B 80 n
比邻星b 80 n
HD 209458 b 80 n
Gliese 581g 80 n

# ======== 小行星和彗星 ========
小行星带 80 n
柯伊伯带 80 n
奥尔特云 80 n
哈雷彗星 80 n
海尔波普彗星 80 n
百武彗星 80 n
C/2020 F3 80 n
阿波菲斯 80 n
爱神星 80 n
智神星 80 n
灶神星 80 n
婚神星 80 n

# ======== 探测仪器 ========
CCD 80 n
光谱仪 80 n
干涉仪 80 n
摄谱仪 80 n
光度计 80 n
偏振计 80 n
射电望远镜 80 n
光学望远镜 80 n
红外望远镜 80 n
X射线望远镜 80 n

# ======== 常用术语 ========
天文单位 80 n
光年 80 n
秒差距 80 n
红移 80 n
蓝移 80 n
视差 80 n
进动 80 n
章动 80 n
潮汐力 80 n
引力 80 n
引力波 80 n
暗物质 80 n
暗能量 80 n
宇宙微波背景辐射 80 n
大爆炸 80 n
恒星演化 80 n
核聚变 80 n
光谱 80 n
光谱线 80 n
多普勒效应 80 n
开普勒定律 80 n
牛顿万有引力定律 80 n
相对论 80 n
天球坐标 80 n
赤经 80 n
赤纬 80 n
黄经 80 n
黄纬 80 n
银经 80 n
银纬 80 n
恒星时 80 n
世界时 80 n
协调世界时 80 n

# ======== 天文机构 ========
NASA 80 n
ESA 80 n
JAXA 80 n
中国国家航天局 80 n
国际天文学联合会 80 n
IAU 80 n
欧洲南方天文台 80 n
